userName,content,score,at,cleaned_content,normalized_content,lower_content,tokens,stemmed_content,label
ERWINDO GUNAWAN,ok,5,2024-10-08 01:00:00,ok,ok,ok,['ok'],ok,
Lita Kurnia,Salah memasukan plat mobil jadi tidak bisa,1,2024-10-08 00:25:22,Salah memasukan plat mobil jadi tidak bisa,Salah memasukan plat mobil jadi tidak bisa,salah memasukan plat mobil jadi tidak bisa,"['salah', 'memasukan', 'plat', 'mobil', 'jadi', 'tidak', 'bisa']",salah pasu plat mobil jadi tidak bisa,
FF. Yozura Odan,Gimane aih ini udeh bener sesuai sama nomer nya kok malah tidak sesuai sama nopol sih aneh pertamina ini.katanya biar subsidi tepat giliran pada daftar dipersulit hadeuh di konoha ini.kalo ada bintang 0 ini saya langsung pake bintang nol nya.,1,2024-10-08 00:13:06,Gimane aih ini udeh bener sesuai sama nomer nya kok malah tidak sesuai sama nopol sih aneh pertamina inikatanya biar subsidi tepat giliran pada daftar dipersulit hadeuh di konoha inikalo ada bintang  ini saya langsung pake bintang nol nya,Gimane aih ini udeh bener sesuai sama nomer nya kok malah tidak sesuai sama nopol sih aneh pertamina inikatanya biar subsidi tepat giliran pada daftar dipersulit hadeuh di konoha inikalo ada bintang  ini saya langsung pake bintang nol nya,gimane aih ini udeh bener sesuai sama nomer nya kok malah tidak sesuai sama nopol sih aneh pertamina inikatanya biar subsidi tepat giliran pada daftar dipersulit hadeuh di konoha inikalo ada bintang  ini saya langsung pake bintang nol nya,"['gimane', 'aih', 'ini', 'udeh', 'bener', 'sesuai', 'sama', 'nomer', 'nya', 'kok', 'malah', 'tidak', 'sesuai', 'sama', 'nopol', 'sih', 'aneh', 'pertamina', 'inikatanya', 'biar', 'subsidi', 'tepat', 'giliran', 'pada', 'daftar', 'dipersulit', 'hadeuh', 'di', 'konoha', 'inikalo', 'ada', 'bintang', 'ini', 'saya', 'langsung', 'pake', 'bintang', 'nol', 'nya']",gimane aih ini udeh bener sesuai sama nomer nya kok malah tidak sesuai sama nopol sih aneh pertamina inikatanya biar subsidi tepat gilir pada daftar sulit hadeuh di konoha inikalo ada bintang ini saya langsung pake bintang nol nya,
yustiadi rosman,Kebijakan paling asu,1,2024-10-07 23:49:14,Kebijakan paling asu,Kebijakan paling asu,kebijakan paling asu,"['kebijakan', 'paling', 'asu']",bijak paling asu,
Rully Sastro,Belum pernah daftar tp status nya sudah terdaftar hadeuh....,1,2024-10-07 23:22:16,Belum pernah daftar tp status nya sudah terdaftar hadeuh,Belum pernah daftar tp status nya sudah terdaftar hadeuh,belum pernah daftar tp status nya sudah terdaftar hadeuh,"['belum', 'pernah', 'daftar', 'tp', 'status', 'nya', 'sudah', 'terdaftar', 'hadeuh']",belum pernah daftar tp status nya sudah daftar hadeuh,
Subhan Nurriziq,Ribet mending beralih motor listrik isi bahan bakar tinggal cas ga perlu QR,1,2024-10-07 23:16:23,Ribet mending beralih motor listrik isi bahan bakar tinggal cas ga perlu QR,Ribet mending beralih motor listrik isi bahan bakar tinggal cas tidak perlu QR,ribet mending beralih motor listrik isi bahan bakar tinggal cas tidak perlu qr,"['ribet', 'mending', 'beralih', 'motor', 'listrik', 'isi', 'bahan', 'bakar', 'tinggal', 'cas', 'tidak', 'perlu', 'qr']",ribet mending alih motor listrik isi bahan bakar tinggal cas tidak perlu qr,
Aris Jayasport,Aplikasi kurang bermutu...,1,2024-10-07 23:15:45,Aplikasi kurang bermutu,Aplikasi kurang bermutu,aplikasi kurang bermutu,"['aplikasi', 'kurang', 'bermutu']",aplikasi kurang mutu,
Gugun Gunarso,Ora mudeng,1,2024-10-07 22:28:38,Ora mudeng,Ora mudeng,ora mudeng,"['ora', 'mudeng']",ora mudeng,
Muhammad Imron,Belum dapat barko,5,2024-10-07 22:15:23,Belum dapat barko,Belum dapat barko,belum dapat barko,"['belum', 'dapat', 'barko']",belum dapat barko,
santika82,Baguss,5,2024-10-07 21:51:41,Baguss,Baguss,baguss,['baguss'],baguss,
Ajar BKB,Memudahkan,5,2024-10-07 21:16:31,Memudahkan,Memudahkan,memudahkan,['memudahkan'],mudah,
Bustomi As'ad,Aplikasi dan kebijakan yg menyulitkan masyarakat.. menghambat produktifitas dan perekonomian,1,2024-10-07 21:03:53,Aplikasi dan kebijakan yg menyulitkan masyarakat menghambat produktifitas dan perekonomian,Aplikasi dan kebijakan yg menyulitkan masyarakat menghambat produktifitas dan perekonomian,aplikasi dan kebijakan yg menyulitkan masyarakat menghambat produktifitas dan perekonomian,"['aplikasi', 'dan', 'kebijakan', 'yg', 'menyulitkan', 'masyarakat', 'menghambat', 'produktifitas', 'dan', 'perekonomian']",aplikasi dan bijak yg sulit masyarakat hambat produktifitas dan ekonomi,
RASHTON Rashton,Barkob bbm bersupsidi,5,2024-10-07 21:03:20,Barkob bbm bersupsidi,Barkob bbm bersupsidi,barkob bbm bersupsidi,"['barkob', 'bbm', 'bersupsidi']",barkob bbm bersupsidi,
Enal Unsulangi,mantap,5,2024-10-07 20:41:37,mantap,mantap,mantap,['mantap'],mantap,
Asih Google.com.,"Aplikasi my Pertamina yang sekarang lebih repot lebih baik dan lebih bagus aplikasi yang dulu ,kalau yang sekarang lebih-lebih gak masuk akal, tolong pemerintah logika kan pikiran anda aplikasi my Pertamina sekarang lebih akal",1,2024-10-07 20:39:39,Aplikasi my Pertamina yang sekarang lebih repot lebih baik dan lebih bagus aplikasi yang dulu kalau yang sekarang lebihlebih gak masuk akal tolong pemerintah logika kan pikiran anda aplikasi my Pertamina sekarang lebih akal,Aplikasi my Pertamina yang sekarang lebih repot lebih baik dan lebih bagus aplikasi yang dulu kalau yang sekarang lebihlebih tidak masuk akal tolong pemerintah logika kan pikiran anda aplikasi my Pertamina sekarang lebih akal,aplikasi my pertamina yang sekarang lebih repot lebih baik dan lebih bagus aplikasi yang dulu kalau yang sekarang lebihlebih tidak masuk akal tolong pemerintah logika kan pikiran anda aplikasi my pertamina sekarang lebih akal,"['aplikasi', 'my', 'pertamina', 'yang', 'sekarang', 'lebih', 'repot', 'lebih', 'baik', 'dan', 'lebih', 'bagus', 'aplikasi', 'yang', 'dulu', 'kalau', 'yang', 'sekarang', 'lebihlebih', 'tidak', 'masuk', 'akal', 'tolong', 'pemerintah', 'logika', 'kan', 'pikiran', 'anda', 'aplikasi', 'my', 'pertamina', 'sekarang', 'lebih', 'akal']",aplikasi my pertamina yang sekarang lebih repot lebih baik dan lebih bagus aplikasi yang dulu kalau yang sekarang lebihlebih tidak masuk akal tolong perintah logika kan pikir anda aplikasi my pertamina sekarang lebih akal,
Armada Wali,mantap,5,2024-10-07 20:38:45,mantap,mantap,mantap,['mantap'],mantap,
NOC IONET,Loadnya lama tolong perbaiki lagi,1,2024-10-07 20:11:58,Loadnya lama tolong perbaiki lagi,Loadnya lama tolong perbaiki lagi,loadnya lama tolong perbaiki lagi,"['loadnya', 'lama', 'tolong', 'perbaiki', 'lagi']",loadnya lama tolong baik lagi,
Giwan Supanjang,Lanjut dan tingkatkan pelayanan,5,2024-10-07 19:52:31,Lanjut dan tingkatkan pelayanan,Lanjut dan tingkatkan pelayanan,lanjut dan tingkatkan pelayanan,"['lanjut', 'dan', 'tingkatkan', 'pelayanan']",lanjut dan tingkat layan,
Nasar Mus,Bagus,5,2024-10-07 19:40:35,Bagus,Bagus,bagus,['bagus'],bagus,
Dx 82,Sip mantap,5,2024-10-07 19:33:57,Sip mantap,Sip mantap,sip mantap,"['sip', 'mantap']",sip mantap,
andes aja,"Kek ny developer aplikasiny gak serius lah buat app ny... Dan server ny pn kek ny asal2an dan gak d liat betul dr aspek beban data, keamanan dll",1,2024-10-07 19:28:44,Kek ny developer aplikasiny gak serius lah buat app ny Dan server ny pn kek ny asalan dan gak d liat betul dr aspek beban data keamanan dll,Kek ny developer aplikasiny tidak serius lah buat app ny Dan server ny pn kek ny asalan dan tidak d liat betul dr aspek beban data keamanan dll,kek ny developer aplikasiny tidak serius lah buat app ny dan server ny pn kek ny asalan dan tidak d liat betul dr aspek beban data keamanan dll,"['kek', 'ny', 'developer', 'aplikasiny', 'tidak', 'serius', 'lah', 'buat', 'app', 'ny', 'dan', 'server', 'ny', 'pn', 'kek', 'ny', 'asalan', 'dan', 'tidak', 'd', 'liat', 'betul', 'dr', 'aspek', 'beban', 'data', 'keamanan', 'dll']",kek ny developer aplikasiny tidak serius lah buat app ny dan server ny pn kek ny asal dan tidak d liat betul dr aspek beban data aman dll,
Rizal Adhit'a,Nomer hp udah ganti gak bisa masuk ke my pertamina,3,2024-10-07 19:15:55,Nomer hp udah ganti gak bisa masuk ke my pertamina,Nomer hp udah ganti tidak bisa masuk ke my pertamina,nomer hp udah ganti tidak bisa masuk ke my pertamina,"['nomer', 'hp', 'udah', 'ganti', 'tidak', 'bisa', 'masuk', 'ke', 'my', 'pertamina']",nomer hp udah ganti tidak bisa masuk ke my pertamina,
